[2026-07-26 21:06:26] sensors/moisture: {'value': 0, 'level': 'dry'}
[2026-07-26 21:06:27] sensors/moisture: {'value': 0, 'level': 'dry'}
[2026-07-26 21:06:28] sensors/moisture: {'value': 1, 'level': 'dry'}
[2026-07-26 21:06:29] sensors/moisture: {'value': 0, 'level': 'dry'}
[2026-07-26 21:06:30] sensors/moisture: {'value': 0, 'level': 'dry'}
[2026-07-26 21:06:31] sensors/moisture: {'value': 0, 'level': 'dry'}
[2026-07-26 21:06:32] sensors/moisture: {'value': 0, 'level': 'dry'}
[2026-07-26 21:06:33] sensors/moisture: {'value': 0, 'level': 'dry'}
[2026-07-26 21:06:34] sensors/moisture: {'value': 0, 'level': 'dry'}
[2026-07-26 21:06:35] sensors/moisture: {'value': 0, 'level': 'dry'}
[2026-07-26 21:06:36] sensors/moisture: {'value': 0, 'level': 'dry'}
[2026-07-26 21:06:37] sensors/moisture: {'value': 0, 'level': 'dry'}
[2026-07-26 21:06:38] sensors/moisture: {'value': 0, 'level': 'dry'}
[2026-07-26 21:06:39] sensors/moisture: {'value': 0, 'level': 'dry'}
[2026-07-26 21:06:40] sensors/moisture: {'value': 0, 'level': 'dry'}
[2026-07-26 21:06:41] sensors/moisture: {'value': 0, 'level': 'dry'}
[2026-07-26 21:06:42] sensors/moisture: {'value': 0, 'level': 'dry'}
[2026-07-26 21:06:43] sensors/moisture: {'value': 0, 'level': 'dry'}
[2026-07-26 21:06:44] sensors/moisture: {'value': 0, 'level': 'dry'}
[2026-07-26 21:06:45] sensors/moisture: {'value': 0, 'level': 'dry'}
[2026-07-26 21:06:46] sensors/moisture: {'value': 3, 'level': 'dry'}
[2026-07-26 21:06:47] sensors/moisture: {'value': 0, 'level': 'dry'}
[2026-07-26 21:06:48] sensors/moisture: {'value': 0, 'level': 'dry'}
[2026-07-26 21:06:49] sensors/moisture: {'value': 1, 'level': 'dry'}
[2026-07-26 21:06:50] sensors/moisture: {'value': 0, 'level': 'dry'}
[2026-07-26 21:06:51] sensors/moisture: {'value': 0, 'level': 'dry'}
[2026-07-26 21:06:52] sensors/moisture: {'value': 0, 'level': 'dry'}
[2026-07-26 21:06:53] sensors/moisture: {'value': 0, 'level': 'dry'}
[2026-07-26 21:06:54] sensors/moisture: {'value': 0, 'level': 'dry'}
[2026-07-26 21:06:55] sensors/moisture: {'value': 0, 'level': 'dry'}
[2026-07-26 21:06:57] sensors/moisture: {'value': 0, 'level': 'dry'}
[2026-07-26 21:06:58] sensors/moisture: {'value': 0, 'level': 'dry'}
[2026-07-26 21:06:59] sensors/moisture: {'value': 0, 'level': 'dry'}
[2026-07-26 21:07:00] sensors/moisture: {'value': 0, 'level': 'dry'}
[2026-07-26 21:07:01] sensors/moisture: {'value': 0, 'level': 'dry'}
[2026-07-26 21:07:02] sensors/moisture: {'value': 0, 'level': 'dry'}
[2026-07-26 21:07:03] sensors/moisture: {'value': 0, 'level': 'dry'}
[2026-07-26 21:07:04] sensors/moisture: {'value': 0, 'level': 'dry'}
[2026-07-26 21:07:05] sensors/moisture: {'value': 0, 'level': 'dry'}
[2026-07-26 21:07:06] sensors/moisture: {'value': 0, 'level': 'dry'}
[2026-07-26 21:07:07] sensors/moisture: {'value': 0, 'level': 'dry'}
[2026-07-26 21:07:08] sensors/moisture: {'value': 0, 'level': 'dry'}
[2026-07-26 21:07:09] sensors/moisture: {'value': 0, 'level': 'dry'}
[2026-07-26 21:07:10] sensors/moisture: {'value': 0, 'level': 'dry'}
[2026-07-26 21:07:11] sensors/moisture: {'value': 0, 'level': 'dry'}
